Agency Name,City,State,Program Started,Cameras Deployed,Program Status,Total Officers,Patrol Officers,# Cameras Purchased,# Cameras Deployed,Policy Link,Camera Supplier,Footage subject to open records law?,Notes on disclosure,Contract link,Cost,Notes on Cost,Related Link 1,Related Link 2,Related Link 3,Source,Entered By,Notes,
EVELETH POLICE DEPT,Eveleth,MN,,,,,,,,,,,,,,,,,,BJS,,,
FULDA POLICE DEPT,Fulda,MN,,,,,,,,,,,,,,,,,,BJS,,,
MONTEVIDEO POLICE DEPT,Montevideo,MN,,,,,,,,,,,,,,,,,,BJS,,,
PERHAM POLICE DEPT,Perham,MN,,,,,,,,,,,,,,,,,,BJS,,,
RAMSEY COUNTY SHERIFFS DEPT,Saint Paul,MN,,,,,,,,,,,,,,,,,,BJS,,,
YELLOW MEDICINE COUNTY SHERIFFS OFFICE,Granite Falls,MN,,,,,,,,,,,,,,,,,,BJS,,,
Minneapolis Police Department,Minneapolis,MN,2/1/2016,,PROPOSED,,,,,,Taser International,,,,$4 million,"Includes 587 cameras, 300 Tasers. Program projected to cost $1.6 million in first year, $600,000 of which from federal grants. Projected to cost $1.2 million per year thereafter.",http://www.startribune.com/minneapolis-council-committee-approves-4-million-contract-for-police-body-cameras/369169941/,http://www.mprnews.org/story/2016/03/09/mpls-police-oversight-commission-criticizes-body-cam-policy,,News reports,Rachel Alexander,,
Hastings Police Department,Hastings,MN,2015,1/1/2016,PILOT,,,8,8,,,Y,,,"$12,000",Estimated cost for full deployment,http://www.hastingsstargazette.com/news/government/3929772-hastings-police-launch-body-camera-pilot-program,,,News reports,Rachel Alexander,,
Mountain Lake,Mountain Lake,MN,fall 2015,,PROPOSED,,,1,,No policy yet,,,,,$150,For one camera,http://www.mtlakenews.com/news-2/,,,News reports,Rachel Alexander,,
CARROLLTON POLICE DEPT,Carrollton,MO,,,,,,,,,,,,,,,,,,BJS,,,
CENTRALIA POLICE DEPT,Centralia,MO,,,,,,,,,,,,,,,,,,BJS,,,
CHILLICOTHE POLICE DEPT,Chillicothe,MO,,,,,,,,,,,,,,,,,,BJS,,,
COLUMBIA POLICE DEPT,Columbia,MO,,,,,,,,,,,,,,,,,,BJS,,,
DONIPHAN POLICE DEPT,Doniphan,MO,,,,,,,,,,,,,,,,,,BJS,,,
DOUGLAS COUNTY SHERIFFS DEPT,Ava,MO,,,,,,,,,,,,,,,,,,BJS,,,
FRANKLIN COUNTY SHERIFFS DEPT,Union,MO,,,,,,,,,,,,,,,,,,BJS,,,
GLADSTONE POLICE DEPT,Gladstone,MO,,,,,,,,,,,,,,,,,,BJS,,,
GRANDVIEW POLICE DEPT,Grandview,MO,,,,,,,,,,,,,,,,,,BJS,,,
KEARNEY POLICE DEPT,Kearney,MO,,,,,,,,,,,,,,,,,,BJS,,,
LADUE POLICE DEPT,Saint Louis,MO,,,,,,,,,,,,,,,,,,BJS,,,
LAKE OZARK POLICE DEPT,Lake Ozark,MO,,,,,,,,,,,,,,,,,,BJS,,,
LEXINGTON POLICE DEPT,Lexington,MO,,,,,,,,,,,,,,,,,,BJS,,,
PHELPS COUNTY SHERIFFS DEPT,Rolla,MO,,,,,,,,,,,,,,,,,,BJS,,,
PULASKI COUNTY SHERIFFS DEPT,Waynesville,MO,,,,,,,,,,,,,,,,,,BJS,,,
ST. JOSEPH POLICE DEPT,Saint Joseph,MO,,,,,,,,,,,,,,,,,,BJS,,,
ST. LOUIS METROPOLITAN POLICE DEPT,St. Louis,MO,,,,,,,,,,,,,,,,,,BJS,,,
WEATHERBY LAKE POLICE DEPT,Weatherby Lake,MO,,,,,,,,,,,,,,,,,,BJS,,,
WILLOW SPRINGS POLICE DEPT,Willow Springs,MO,,,,,,,,,,,,,,,,,,BJS,,,
Calverton Park  Police Department,Calverton Park,MO,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Foley Police Department,Foley,MO,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Howell County Sheriff's Office,West Plains,MO,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
St. Louis Community College Police Department,St. Louis,MO,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Deslodge Police Department,Deslodge,MO,,,PROPOSED,,,,,,,,,,,,http://www.kfvs12.com/story/31444523/desloge-police-department-asks-for-body-camera-donations,http://dailyjournalonline.com/desloge/news/desloge-police-looking-for-help-with-body-cameras/article_9350f153-0a83-5550-89d0-b08a4a01ef6b.html,,News reports,Rachel Alexander,Seeking donations for program,
St. Louis Police Department,St. Louis,MO,12/1/2015,,PILOT,,,,,,,,,,,,http://www.stltoday.com/news/local/crime-and-courts/st-louis-police-seek-public-input-on-body-cameras/article_13867fd1-8d8f-547b-91d6-83fd826720be.html,https://slmpd-my.sharepoint.com/personal/lkfreeman_slmpd_org/_layouts/15/WopiFrame.aspx?guestaccesstoken=ErL%2bNlbVlJTVFmOns%2fP4h4C%2fqB1w%2bDtdwUa6qkYdlNM%3d&docid=1_1dd43bc60c8ad432a94c30732c734f5d4&wdFormId=%7B55E0EEB8-B11F-45F6-B873-AD77841044D2%7D&action=formsubmit,,News reports,Rachel Alexander,,
BILOXI POLICE DEPT,Biloxi,MS,,,,,,,,,,,,,,,,,,BJS,,,
GULFPORT POLICE DEPT,Gulfport,MS,,,,,,,,,,,,,,,,,,BJS,,,
HANCOCK COUNTY SHERIFFS DEPT,Bay St.Louis,MS,,,,,,,,,,,,,,,,,,BJS,,,
IUKA POLICE DEPT,Iuka,MS,,,,,,,,,,,,,,,,,,BJS,,,
LAMAR COUNTY SHERIFFS DEPT,Purvis,MS,,,,,,,,,,,,,,,,,,BJS,,,
OCEAN SPRINGS POLICE DEPT,Ocean Springs,MS,,,,,,,,,,,,,,,,,,BJS,,,
PERRY COUNTY SHERIFFS DEPT,New Augusta,MS,,,,,,,,,,,,,,,,,,BJS,,,
PETAL POLICE DEPT,Petal,MS,,,,,,,,,,,,,,,,,,BJS,,,
ROLLING FORK POLICE DEPT,Rolling Fork,MS,,,,,,,,,,,,,,,,,,BJS,,,
SOUTHAVEN POLICE DEPT,Southaven,MS,,,,,,,,,,,,,,,,,,BJS,,,
TUNICA POLICE DEPT,Tunica,MS,,,,,,,,,,,,,,,,,,BJS,,,
UNION POLICE DEPT,Union,MS,,,,,,,,,,,,,,,,,,BJS,,,
Flowood Police Department,Flowood,MS,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Grenada Police Department,Grenada,MS,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Vicksburg Police Department,Vicksburg,MS,7/1/2015,2/1/2016,ACTIVE,,,81,,,,,,,"$62,980",Cost for all cameras. Purchased with drug seizure money.,http://www.vicksburgpost.com/2016/01/24/vpd-ready-to-use-body-cameras/,,,News reports,Rachel Alexander,,
BILLINGS POLICE DEPT,Billings,MT,,,,,,,,,,,,,,,,,,BJS,,,
CARBON COUNTY SHERIFFS OFFICE,Red Lodge,MT,,,,,,,,,,,,,,,,,,BJS,,,
FALLON COUNTY SHERIFFS OFFICE,Baker,MT,,,,,,,,,,,,,,,,,,BJS,,,
FLATHEAD COUNTY SHERIFFS OFFICE,Kalispell,MT,,,,,,,,,,,,,,,,,,BJS,,,
MILES CITY POLICE DEPT,Miles City,MT,,,,,,,,,,,,,,,,,,BJS,,,
Montana Highway Patrol,Helena,MT,,,,,,,,,,,,,,,,,,BJS,,,
SWEET GRASS COUNTY SHERIFFS DEPT,Big Timber,MT,,,,,,,,,,,,,,,,,,BJS,,,
WHEATLAND COUNTY SHERIFFS DEPT,Harlowton,MT,,,,,,,,,,,,,,,,,,BJS,,,
ALBEMARLE POLICE DEPT,Albemarle,NC,,,,,,,,,,,,,,,,,,BJS,,,
ASHEVILLE POLICE DEPT,Asheville,NC,,,PROPOSED,,,,,,,U,"State law generally considers digital records ""investigatory,"" but some groups have argued body camera videos are discloseable because they're not specifically mentioned as an exemption.",,,,http://www.citizen-times.com/story/news/local/2016/01/25/apd-moves-forward-body-camera-plan/79305260/,,,BJS,,,
CALDWELL COUNTY SHERIFFS DEPT,Lenoir,NC,,,,,,,,,,,,,,,,,,BJS,,,
CAROLINA BEACH POLICE DEPT,Carolina Beach,NC,,,,,,,,,,,,,,,,,,BJS,,,
CARY POLICE DEPT,Cary,NC,,,,,,,,,,,,,,,,,,BJS,,,
CUMBERLAND COUNTY SHERIFFS OFFICE,Fayetteville,NC,,,,,,,,,,,,,,,,,,BJS,,,
DAVIDSON COUNTY SHERIFFS OFFICE,Lexington,NC,,,,,,,,,,,,,,,,,,BJS,,,
FORSYTH COUNTY SHERIFFS OFFICE,Winston Salem,NC,,,,,,,,,,,,,,,,,,BJS,,,
GRAHAM COUNTY SHERIFFS DEPT,Robbinsville,NC,,,,,,,,,,,,,,,,,,BJS,,,
GRANITE QUARRY POLICE DEPT,Granite Quarry,NC,,,,,,,,,,,,,,,,,,BJS,,,
GRANVILLE COUNTY SHERIFFS DEPT,Oxford,NC,,,,,,,,,,,,,,,,,,BJS,,,
GREENVILLE POLICE DEPT,Greenville,NC,,,,,,,,,,,,,,,,,,BJS,,,
HARNETT COUNTY SHERIFFS OFFICE,Lillington,NC,,,,,,,,,,,,,,,,,,BJS,,,
HENDERSON COUNTY SHERIFFS OFFICE,Hendersonville,NC,,,,,,,,,,,,,,,,,,BJS,,,
HIGH POINT POLICE DEPT,High Point,NC,,,,,,,,,,,,,,,,,,BJS,,,
HOPE MILLS POLICE DEPT,Hope Mills,NC,,,,,,,,,,,,,,,,,,BJS,,,
IREDELL COUNTY SHERIFFS DEPT,Statesville,NC,,,,,,,,,,,,,,,,,,BJS,,,
JACKSONVILLE POLICE DEPT,Jacksonville,NC,,,,,,,,,,,,,,,,,,BJS,,,
JONES COUNTY SHERIFFS DEPT,Trenton,NC,,,,,,,,,,,,,,,,,,BJS,,,
LEXINGTON POLICE DEPT,Lexington,NC,,,,,,,,,,,,,,,,,,BJS,,,
PASQUOTANK COUNTY SHERIFFS DEPT,Elizabeth City,NC,,,,,,,,,,,,,,,,,,BJS,,,
RIVER BEND POLICE DEPT,River Bend,NC,,,,,,,,,,,,,,,,,,BJS,,,
SCOTLAND NECK POLICE DEPT,Scotland Neck,NC,,,,,,,,,,,,,,,,,,BJS,,,
TRANSYLVANIA COUNTY SHERIFFS DEPT,Brevard,NC,,,,,,,,,,,,,,,,,,BJS,,,
WARSAW POLICE DEPT,Warsaw,NC,,,,,,,,,,,,,,,,,,BJS,,,
WILMINGTON POLICE DEPT,Wilmington,NC,,,,,,,,,,,,,,,,,,BJS,,,
WINSTON-SALEM POLICE DEPT,Winston Salem,NC,,,,,,,,,,,,,,,,,,BJS,,,
WINTERVILLE POLICE DEPT,Winterville,NC,,,,,,,,,,,,,,,,,,BJS,,,
YADKINVILLE POLICE DEPT,Yadkinville,NC,,,,,,,,,,,,,,,,,,BJS,,,
Norlina Police Department,Norlina,NC,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Spring Hope Police Department,Spring Hope,NC,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Weldon Police Department,Weldon,NC,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Charlotte-Mecklenburg Police Department,Charlotte,NC,,4/1/2015,ACTIVE,,,1400,1200,Charlotte,Taser International,Chief is not releasing footage.,,,$5.5 million,"Five-year contract for cameras, maintenance, licensing and storage.",http://www.charlotteobserver.com/news/local/crime/article35451150.html,http://www.charlotteobserver.com/news/local/article66037137.html,http://www.newsobserver.com/opinion/editorials/article66744722.html,News reports,Rachel Alexander,,
Greensboro Police Department,Greensboro,NC,2013?,2013?,ACTIVE,,,,,,,N,"Considered part of officer's personnel record per state law and can't be released, officials say.",,,,http://www.greensboro.com/news/greensboro-city-council-to-talk-police-body-cameras-at-retreat/article_dabfb0de-b756-5af6-aeff-b2d94974fddf.html,,,News reports,Rachel Alexander,,
Pine Knoll Shores Police Department,Pine Knoll Shores,NC,,1/1/2016,ACTIVE,,,7,7,,,,,,"$3,200",Seven cameras and an external hard drive to download data. Cameras were $250 each.,http://www.carolinacoastonline.com/news_times/article_6d19cb62-c69d-11e5-9944-13a9d29fe275.html,,,News reports,Rachel Alexander,,
Durham Police Department,Durham,NC,12/1/2015,,PROPOSED,,,,,,,,,,,,http://www.wral.com/durham-officials-residents-still-have-questions-about-police-body-cameras/15393309/,,,News reports,Rachel Alexander,,
Raleigh Police Department,Raleigh,NC,3/1/2016,,PROPOSED,,,,,,,,,,,,http://abc11.com/news/raleigh-to-move-forward-with-police-body-camera-study/1246735/,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
LOGAN COUNTY SHERIFFS DEPT,Napoleon,ND,,,,,,,,,,,,,,,,,,BJS,,,
RICHLAND COUNTY SHERIFFS OFFICE,Wahpeton,ND,,,,,,,,,,,,,,,,,,BJS,,,
WATFORD CITY POLICE DEPT,Watford City,ND,,,,,,,,,,,,,,,,,,BJS,,,
BELLEVUE POLICE DEPT,Bellevue,NE,,,,,,,,,,,,,,,,,,BJS,,,
BRIDGEPORT POLICE DEPT,Bridgeport,NE,,,,,,,,,,,,,,,,,,BJS,,,
CHASE COUNTY SHERIFFS DEPT,Imperial,NE,,,,,,,,,,,,,,,,,,BJS,,,
DAWSON COUNTY SHERIFFS OFFICE,Lexington,NE,,,,,,,,,,,,,,,,,,BJS,,,
FAIRMONT POLICE DEPT,Fairmont,NE,,,,,,,,,,,,,,,,,,BJS,,,
FILLMORE COUNTY SHERIFFS DEPT,Geneva,NE,,,,,,,,,,,,,,,,,,BJS,,,
KNOX COUNTY SHERIFFS DEPT,Center,NE,,,,,,,,,,,,,,,,,,BJS,,,
LINCOLN POLICE DEPT,Lincoln,NE,,,,,,,,,,,,,,,,,,BJS,,,
MADISON POLICE DEPT,Madison,NE,,,,,,,,,,,,,,,,,,BJS,,,
MITCHELL POLICE DEPT,Mitchell,NE,,,,,,,,,,,,,,,,,,BJS,,,
OGALLALA POLICE DEPT,Ogallala,NE,,,,,,,,,,,,,,,,,,BJS,,,
SEWARD POLICE DEPT,Seward,NE,,,,,,,,,,,,,,,,,,BJS,,,
WEBSTER COUNTY SHERIFFS DEPT,Red Cloud,NE,,,,,,,,,,,,,,,,,,BJS,,,
ROCHESTER POLICE DEPT,Rochester,NH,,,,,,,,,,,,,,,,,,BJS,,,
Richmond Police Department,Richmond,NH,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
BOONTON POLICE DEPT,Boonton,NJ,,,,,,,,,,,,,,,,,,BJS,,,
CHESTERFIELD TWP POLICE DEPT,Chesterfield,NJ,,,,,,,,,,,,,,,,,,BJS,,,
FAR HILLS BORO POLICE DEPT,Far Hills,NJ,,,,,,,,,,,,,,,,,,BJS,,,
GLOUCESTER TWP POLICE DEPT,Blackwood,NJ,,,,,,,,,,,,,,,,,,BJS,,,
LONG BRANCH (CITY) PUB SFTY DEPT,Long Branch,NJ,,,,,,,,,,,,,,,,,,BJS,,,
RAHWAY POLICE DEPT,Rahway,NJ,,,,,,,,,,,,,,,,,,BJS,,,
Trenton Police Department,Trenton,NJ,2/1/2016,,PROPOSED,,,150,,,Taser International,,,,"$234,786","$103,279 of total comes from federal grant money",http://www.nj.com/mercer/index.ssf/2016/02/trenton_council_to_vote_on_buying_150_police_body.html,,,News reports,Rachel Alexander,,
Caldwell Police Department,Caldwell,NJ,1/1/2016,7/1/2016,PROPOSED,,,10,,,,,,,,,http://www.newjerseyhills.com/the_progress/news/police-body-cameras-coming-to-caldwell-essex-fells/article_baf34c8c-3690-5152-af75-90e00b5eca0f.html,,,News reports,Rachel Alexander,,
Essex Falls Police Department,Essex Falls,NJ,1/1/2016,7/1/2016,PROPOSED,,,6,,,,,,,,,http://www.newjerseyhills.com/the_progress/news/police-body-cameras-coming-to-caldwell-essex-fells/article_baf34c8c-3690-5152-af75-90e00b5eca0f.html,,,News reports,Rachel Alexander,,
New Jersey State Police,Trenton,NJ,7/1/2015,,,,,1000,,,,,,,$1.5 million,Estimated cost for total program,http://www.newjerseyhills.com/the_progress/news/police-body-cameras-coming-to-caldwell-essex-fells/article_baf34c8c-3690-5152-af75-90e00b5eca0f.html,,,News reports,Rachel Alexander,,
Newton Police Department,Newton,NJ,,3/1/2016,ACTIVE,,,25,,,L3 Mobile-Vision,,,,"$30,000","Approximate cost for initial cameras. Offset by $4,245 grant from city insurer and $11,000 grand from New Jersey Department of Law and Public Safety.",,,,News reports,Rachel Alexander,,
Camden County Police Department,Camden,NJ,,,PILOT,,,325,20,,,,,,"$391,145","Includes initial purchase of 325 cameras, plus software for operating and storing footage.",http://www.philly.com/philly/news/new_jersey/20160314_Camden_police_ask_residents_to_help_set_body-camera_rules.html,http://philadelphia.cbslocal.com/2016/03/20/camden-county-cops-look-into-body-cameras/,,News reports,Rachel Alexander,,
Pompton Lakes Police Department,Pompton Lakes,NJ,,1/1/2016,ACTIVE,,,,,,,,,,,,http://www.northjersey.com/community-news/2.4225/starting-today-officers-equipped-with-body-cameras-1.1503090,,,News reports,Rachel Alexander,,
Haverhill Police Department,Haverhill,NJ,,,ACTIVE,,,,,,Taser International,,,,,,http://www.unionleader.com/North-Country-police-departments-increasingly-using-body-worn-cameras,,,News reports,Rachel Alexander,,
Lincoln Police Department,Lincoln,NJ,,,PROPOSED,,,,,,,,,,,,http://www.unionleader.com/North-Country-police-departments-increasingly-using-body-worn-cameras,,,News reports,Rachel Alexander,,
ALBUQUERQUE POLICE DEPT,Albuquerque,NM,,,,,,,,,,,,,,,,,,BJS,,,
BERNALILLO COUNTY SHERIFFS DEPT,Albuquerque,NM,,,,,,,,,,,,,,,,,,BJS,,,
CLAYTON POLICE DEPT,Clayton,NM,,,,,,,,,,,,,,,,,,BJS,,,
DE BACA COUNTY SHERIFFS DEPT,Fort Sumner,NM,,,,,,,,,,,,,,,,,,BJS,,,
FARMINGTON POLICE DEPT,Farmington,NM,,,,,,,,,,,,,,,,,,BJS,,,
GRANT COUNTY SHERIFFS DEPT,Silver City,NM,,,,,,,,,,,,,,,,,,BJS,,,
GRANTS POLICE DEPT,Grants,NM,,,,,,,,,,,,,,,,,,BJS,,,
LAS CRUCES POLICE DEPT,Las Cruces,NM,,,,,,,,,,,,,,,,,,BJS,,,
MORA COUNTY SHERIFFS DEPT,Mora,NM,,,,,,,,,,,,,,,,,,BJS,,,
New Mexico State Police,Santa Fe,NM,,,,,,,,,,,,,,,,,,BJS,,,
PORTALES POLICE DEPT,Portales,NM,,,,,,,,,,,,,,,,,,BJS,,,
QUESTA POLICE DEPT,Questa,NM,,,,,,,,,,,,,,,,,,BJS,,,
RIO RANCHO DEPT OF PUBLIC SFTY,Rio Rancho,NM,,,,,,,,,,,,,,,,,,BJS,,,
SAN JUAN COUNTY SHERIFFS DEPT,Aztec,NM,,,,,,,,,,,,,,,,,,BJS,,,
SANTA ANA TRIBAL POLICE DEPT,Bernalillo,NM,,,,,,,,,,,,,,,,,,BJS,,,
SIERRA COUNTY SHERIFFS OFFICE,Truth or Consequences,NM,,,,,,,,,,,,,,,,,,BJS,,,
SUNLAND PARK POLICE DEPT,Sunland Park,NM,,,,,,,,,,,,,,,,,,BJS,,,
TRUTH OR CONSEQUENCES POLICE DEPT,Truth or Consequences,NM,,,,,,,,,,,,,,,,,,BJS,,,
VALENCIA COUNTY SHERIFFS DEPT,Los Lunas,NM,,,,,,,,,,,,,,,,,,BJS,,,
Los Lunas Police Department,Los Lunas,NM,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Carlsbad Police Department,Carlsbad,NM,,,PILOT,,,,6,,Taser International,,,,"$212,300","Cost for first year, including hardware and storage. Projected to cost $123,150 in subsequent years.",http://www.cbs8.com/story/31345872/carlsbad-pd-begins-body-camera-trial,,,News reports,Rachel Alexander,"Following pilot, will consider buying cameras for 115 sworn officers and 11 community service officers.",
DOUGLAS COUNTY SHERIFFS DEPT,Minden,NV,,,,,,,,,,,,,,,,,,BJS,,,
ELKO POLICE DEPT,Elko,NV,,,,,,,,,,,,,,,,,,BJS,,,
RENO-SPARKS TRIBAL POLICE DEPT,Reno,NV,,,,,,,,,,,,,,,,,,BJS,,,
YERINGTON PAIUTE TRIBAL POLICE DEPT,Yerington,NV,,,,,,,,,,,,,,,,,,BJS,,,
ARCADE (VLG) POLICE DEPT,Arcade,NY,,,,,,,,,,,,,,,,,,BJS,,,
ATTICA (VLG) POLICE DEPT,Attica,NY,,,,,,,,,,,,,,,,,,BJS,,,
ESSEX COUNTY SHERIFFS DEPT,Lewis,NY,,,,,,,,,,,,,,,,,,BJS,,,
LIVINGSTON COUNTY SHERIFFS DEPT,Geneseo,NY,,,,,,,,,,,,,,,,,,BJS,,,
MONTGOMERY (TOWN) POLICE DEPT,Montgomery,NY,,,,,,,,,,,,,,,,,,BJS,,,
New York State Police,Albany,NY,,,,,,,,,,,,,,,,,,BJS,,,
NIAGARA COUNTY SHERIFFS OFFICE,Lockport,NY,,,,,,,,,,,,,,,,,,BJS,,,
NIAGARA FALLS (CITY) POLICE DEPT,Niagara Falls,NY,,,,,,,,,,,,,,,,,,BJS,,,
PERRY (VLG) POLICE DEPT,Perry,NY,,,,,,,,,,,,,,,,,,BJS,,,
VESTAL (TOWN) POLICE DEPT,Vestal,NY,,,,,,,,,,,,,,,,,,BJS,,,
WHITE PLAINS (CITY) POLICE DEPT,White Plains,NY,,,,,,,,,,,,,,,,,,BJS,,,
New York City Police Department,New York,NY,,,,34500,,54,,New York City,,,,,,,,,,Campaign Zero,Rachel Alexander,,
Caton Town Constables,Corning,NY,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Town of Skaneateles Constabulary,Skaneateles,NY,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Rochester Police Department,Rochester,NY,,,PROPOSED,,,500 purchased,,,Municipal Emergency Services Inc.,,,,"$856,300",,http://13wham.com/news/top-stories/vendor-chosen-for-rpd-body-camera-program-01-20-2016,,,News reports,Rachel Alexander,,
Kingston Police Department,Kingston,NY,3/1/2016,,PROPOSED,,,,,,,,,,,,http://www.midhudsonnews.com/News/2016/March/10/King_bodycam_pilot-10Mar16.html,,,News reports,Rachel Alexander,,
Albany Police Department,Albany,NY,2/1/2016,,PROPOSED,,,,,,,,,,,,http://www.timesunion.com/local/article/Albany-police-chief-to-talk-body-cams-on-Tuesday-6848533.php,,,News reports,,,
ASHLAND COUNTY SHERIFFS OFFICE,Ashland,OH,,,,,,,,,,,,,,,,,,BJS,,,
ATHENS COUNTY SHERIFFS OFFICE,Athens,OH,,,,,,,,,,,,,,,,,,BJS,,,
AVON LAKE POLICE DEPT,Avon Lake,OH,,,,,,,,,,,,,,,,,,BJS,,,
CARROLL POLICE DEPT,Oak Harbor,OH,,,,,,,,,,,,,,,,,,BJS,,,
CLARK COUNTY SHERIFFS OFFICE,Springfield,OH,,,,,,,,,,,,,,,,,,BJS,,,
COLDWATER POLICE DEPT,Coldwater,OH,,,,,,,,,,,,,,,,,,BJS,,,
EUCLID POLICE DEPT,Euclid,OH,,,,,,,,,,,,,,,,,,BJS,,,
FAIRFIELD COUNTY SHERIFFS OFFICE,Lancaster,OH,,,,,,,,,,,,,,,,,,BJS,,,
HIGHLAND HILLS POLICE DEPT,Highland Hills,OH,,,,,,,,,,,,,,,,,,BJS,,,
INDIAN HILL RANGERS,Indian Hill,OH,,,,,,,,,,,,,,,,,,BJS,,,
MINERVA PARK POLICE DEPT,Columbus,OH,,,,,,,,,,,,,,,,,,BJS,,,
MONROE POLICE DEPT,Monroe,OH,,,,,,,,,,,,,,,,,,BJS,,,
PEMBERVILLE POLICE DEPT,Pemberville,OH,,,,,,,,,,,,,,,,,,BJS,,,
PERRY POLICE DEPT,Perry,OH,,,,,,,,,,,,,,,,,,BJS,,,
PIKETON POLICE DEPT,Piketon,OH,,,,,,,,,,,,,,,,,,BJS,,,
ROCKFORD POLICE DEPT,Rockford,OH,,,,,,,,,,,,,,,,,,BJS,,,
SHEFFIELD VILLAGE POLICE DEPT,Sheffield Village,OH,,,,,,,,,,,,,,,,,,BJS,,,
SHELBY POLICE DEPT,Shelby,OH,,,,,,,,,,,,,,,,,,BJS,,,
SILVERTON POLICE DEPT,Silverton,OH,,,,,,,,,,,,,,,,,,BJS,,,
SUMMIT COUNTY SHERIFFS OFFICE,Akron,OH,,,,,,,,,,,,,,,,,,BJS,,,
TOLEDO POLICE DEPT,Toledo,OH,,,,,,,,,,,,,,,,,,BJS,,,
UNION CITY POLICE DEPT,Union City,OH,,,,,,,,,,,,,,,,,,BJS,,,
VERMILION POLICE DEPT,Vermilion,OH,,,,,,,,,,,,,,,,,,BJS,,,
WILLIAMSBURG POLICE DEPT,Williamsburg,OH,,,,,,,,,,,,,,,,,,BJS,,,
Cincinnati Police Department,Cincinnati,OH,1/1/2016,,PROPOSED,,,,,,,,,,$1.6 million,Estimate for cameras,http://www.newsrecord.org/news/cincinnati-police-to-purchase-body-cams/article_82ac1b1a-c2e2-11e5-b55d-bfaac9128d0c.html,,,News reports,Rachel Alexander,,
Beachwood Police Department,Beachwood,OH,2/1/2016,,PROPOSED,,,55,,,,,,,"$208,961",All funds from seizure money.,http://www.cleveland.com/beachwood/index.ssf/2016/02/beachwood_buying_high-tech_bod.html,,,News reports,Rachel Alexander,,
University of Cincinnati Police Department,Cincinnati,OH,,10/1/2014,,,,,,,,,,,,,http://www.newsrecord.org/news/cincinnati-police-to-purchase-body-cams/article_82ac1b1a-c2e2-11e5-b55d-bfaac9128d0c.html,,,News reports,,,
BLANCHARD POLICE DEPT,Blanchard,OK,,,,,,,,,,,,,,,,,,BJS,,,
COMANCHE TRIBAL POLICE DEPT,Lawton,OK,,,,,,,,,,,,,,,,,,BJS,,,
CREEK COUNTY SHERIFFS DEPT,Sapulpa,OK,,,,,,,,,,,,,,,,,,BJS,,,
DUNCAN POLICE DEPT,Duncan,OK,,,,,,,,,,,,,,,,,,BJS,,,
LINDSAY POLICE DEPT,Lindsay,OK,,,,,,,,,,,,,,,,,,BJS,,,
MADILL POLICE DEPT,Madill,OK,,,,,,,,,,,,,,,,,,BJS,,,
MARLOW POLICE DEPT,Marlow,OK,,,,,,,,,,,,,,,,,,BJS,,,
MIDWEST CITY POLICE DEPT,Midwest City,OK,,,,,,,,,,,,,,,,,,BJS,,,
PAWNEE POLICE DEPT,Pawnee,OK,,,,,,,,,,,,,,,,,,BJS,,,
PONCA CITY POLICE DEPT,Ponca City,OK,,,,,,,,,,,,,,,,,,BJS,,,
SAND SPRINGS POLICE DEPT,Sand Springs,OK,,,,,,,,,,,,,,,,,,BJS,,,
STILLWATER POLICE DEPT,Stillwater,OK,,,,,,,,,,,,,,,,,,BJS,,,
STILWELL POLICE DEPT,Stilwell,OK,,,,,,,,,,,,,,,,,,BJS,,,
TIPTON POLICE DEPT,Tipton,OK,,,,,,,,,,,,,,,,,,BJS,,,
WEWOKA POLICE DEPT,Wewoka,OK,,,,,,,,,,,,,,,,,,BJS,,,
